,j_d,g_d,h_d,events,event,calender_type
1757,"(1402, 3, 15)",2023-06-05,"(1444, 11, 16)",قیام ۱۵,قیام ۱۵,j
1758,"(1402, 3, 15)",2023-06-05,"(1444, 11, 16)",روز جهانی محیط زیست [۵ june],روز جهانی محیط زیست,g
1759,"(1402, 3, 20)",2023-06-10,"(1444, 11, 21)",روز جهانی صنایع دستی [۱۰ june],روز جهانی صنایع دستی,g
1760,"(1402, 3, 22)",2023-06-12,"(1444, 11, 23)",روز جهانی مبارزه با کار کودکان [۱۲ june],روز جهانی مبارزه با کار کودکان,g
1761,"(1402, 3, 24)",2023-06-14,"(1444, 11, 25)",روز جهانی اهدای خون [۱۴ june],روز جهانی اهدای خون,g
1762,"(1402, 3, 25)",2023-06-15,"(1444, 11, 26)",روز ملی گل وگیاه,روز ملی گل وگیاه,j
1763,"(1402, 3, 27)",2023-06-17,"(1444, 11, 28)",روز جهاد کشاورزی,روز جهاد کشاورزی,j
1764,"(1402, 3, 27)",2023-06-17,"(1444, 11, 28)",روز جهانی بیابان زدایی [۱۷ june],روز جهانی بیابان زدایی,g
1765,"(1402, 3, 28)",2023-06-18,"(1444, 11, 29)",شهادت امام محمد تقی علیه السلام [٢٩ ذوالقعده],شهادت امام محمد تقی علیه السلام,h
1766,"(1402, 2, 1)",2023-04-21,"(1444, 10, 1)",روز بزرگداشت سعدی,روز بزرگداشت سعدی,j
1767,"(1402, 2, 1)",2023-04-21,"(1444, 10, 1)",عید سعید فطر [١ شوال],عید سعید فطر,h
1768,"(1402, 2, 2)",2023-04-22,"(1444, 10, 2)",جشن گیاه آوری؛ روز زمین [۲۲ april],جشن گیاه آوری؛ روز زمین,g
1769,"(1402, 2, 2)",2023-04-22,"(1444, 10, 2)",تعطیل به مناسبت عید سعید فطر [٢ شوال],تعطیل به مناسبت عید سعید فطر,h
1770,"(1402, 2, 3)",2023-04-23,"(1444, 10, 3)",روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی,روزبزرگداشت شیخ بهایی؛ روزملی کارآفرینی,j
1771,"(1402, 2, 9)",2023-04-29,"(1444, 10, 9)",روزشوراها,روزشوراها,j
1772,"(1402, 2, 9)",2023-04-29,"(1444, 10, 9)",روز جهانی روانشناس و مشاور,روز جهانی روانشناس و مشاور,j
1773,"(1402, 2, 10)",2023-04-30,"(1444, 10, 10)",جشن چهلم نوروز؛ روز ملی خلیج فارس,جشن چهلم نوروز؛ روز ملی خلیج فارس,j
1774,"(1402, 2, 11)",2023-05-01,"(1444, 10, 11)",روزجهانی کارگر [۱ may],روزجهانی کارگر,g
1775,"(1402, 2, 12)",2023-05-02,"(1444, 10, 12)",شهادت استاد مرتضی مطهری، روزمعلم,شهادت استاد مرتضی مطهری، روزمعلم,j
1776,"(1402, 2, 15)",2023-05-05,"(1444, 10, 15)",جشن میانه بهار/جشن بهاربد؛ روز شیراز,جشن میانه بهار/جشن بهاربد؛ روز شیراز,j
1777,"(1402, 2, 15)",2023-05-05,"(1444, 10, 15)",روز جهانی ماما [۵ may],روز جهانی ماما,g
1778,"(1402, 2, 17)",2023-05-07,"(1444, 10, 17)",روز اسناد ملی و میراث مکتوب,روز اسناد ملی و میراث مکتوب,j
1779,"(1402, 2, 18)",2023-05-08,"(1444, 10, 18)",روز جهانی صلیب سرخ و هلال احمر [۸ may],روز جهانی صلیب سرخ و هلال احمر,g
1780,"(1402, 2, 25)",2023-05-15,"(1444, 10, 25)",روز بزرگداشت فردوسی,روز بزرگداشت فردوسی,j
1781,"(1402, 2, 25)",2023-05-15,"(1444, 10, 25)",شهادت امام جعفر صادق علیه السلام [٢٥ شوال],شهادت امام جعفر صادق علیه السلام,h
1782,"(1402, 2, 27)",2023-05-17,"(1444, 10, 27)",روز ارتباطات و روابط عمومی,روز ارتباطات و روابط عمومی,j
1783,"(1402, 2, 28)",2023-05-18,"(1444, 10, 28)",روز بزرگداشت حکیم عمر خیام,روز بزرگداشت حکیم عمر خیام,j
1784,"(1402, 2, 28)",2023-05-18,"(1444, 10, 28)",روز جهانی موزه و میراث فرهنگی [۱۸ may],روز جهانی موزه و میراث فرهنگی,g
1785,"(1402, 2, 31)",2023-05-21,"(1444, 11, 1)",ولادت حضرت معصومه سلام الله علیها و روز دختران [١ ذوالقعده],ولادت حضرت معصومه سلام الله علیها و روز دختران,h
1786,"(1402, 1, 1)",2023-03-21,"(1444, 8, 29)",جشن نوروز/جشن سال نو,جشن نوروز/جشن سال نو,j
1787,"(1402, 1, 2)",2023-03-22,"(1444, 8, 30)",عیدنوروز,عیدنوروز,j
1788,"(1402, 1, 3)",2023-03-23,"(1444, 9, 1)",عیدنوروز,عیدنوروز,j
1789,"(1402, 1, 4)",2023-03-24,"(1444, 9, 2)",عیدنوروز,عیدنوروز,j
1790,"(1402, 1, 6)",2023-03-26,"(1444, 9, 4)",روز امید، روز شادباش نویسی,روز امید، روز شادباش نویسی,j
1791,"(1402, 1, 6)",2023-03-26,"(1444, 9, 4)",زادروز آشو زرتشت، ابرانسان بزرگ تاریخ,زادروز آشو زرتشت، ابرانسان بزرگ تاریخ,j
1792,"(1402, 1, 7)",2023-03-27,"(1444, 9, 5)",روز جهانی تئاتر [۲۷ march],روز جهانی تئاتر,g
1793,"(1402, 1, 10)",2023-03-30,"(1444, 9, 8)",جشن آبانگاه,جشن آبانگاه,j
1794,"(1402, 1, 12)",2023-04-01,"(1444, 9, 10)",روز جمهوری اسلامی,روز جمهوری اسلامی,j
1795,"(1402, 1, 13)",2023-04-02,"(1444, 9, 11)",جشن سیزده به در,جشن سیزده به در,j
1796,"(1402, 1, 17)",2023-04-06,"(1444, 9, 15)",سروش روز، جشن سروشگان,سروش روز، جشن سروشگان,j
1797,"(1402, 1, 17)",2023-04-06,"(1444, 9, 15)",ولادت امام حسن مجتبی علیه السلام [١٥ رمضان],ولادت امام حسن مجتبی علیه السلام,h
1798,"(1402, 1, 18)",2023-04-07,"(1444, 9, 16)",روز جهانی بهداشت [۷ april],روز جهانی بهداشت,g
1799,"(1402, 1, 19)",2023-04-08,"(1444, 9, 17)",روز، جشن فروردینگان,روز، جشن فروردینگان,j
1800,"(1402, 1, 20)",2023-04-09,"(1444, 9, 18)",شب قدر [١٨ رمضان],شب قدر,h
1801,"(1402, 1, 21)",2023-04-10,"(1444, 9, 19)",ضربت خوردن حضرت علی علیه السلام [١٩ رمضان],ضربت خوردن حضرت علی علیه السلام,h
1802,"(1402, 1, 23)",2023-04-12,"(1444, 9, 21)",شهادت حضرت علی علیه السلام [٢١ رمضان],شهادت حضرت علی علیه السلام,h
1803,"(1402, 1, 23)",2023-04-12,"(1444, 9, 21)",روز دندانپزشک,روز دندانپزشک,j
1804,"(1402, 1, 24)",2023-04-13,"(1444, 9, 22)",شب قدر [٢٢ رمضان],شب قدر,h
1805,"(1402, 1, 25)",2023-04-14,"(1444, 9, 23)",روز بزرگداشت عطار نیشابوری,روز بزرگداشت عطار نیشابوری,j
1806,"(1402, 1, 29)",2023-04-18,"(1444, 9, 27)",روز ارتش جمهوری اسلامی ایران,روز ارتش جمهوری اسلامی ایران,j
1807,"(1402, 1, 30)",2023-04-19,"(1444, 9, 28)",روز علوم آزمایشگاهی، زاد روز حکیم سید اسماعیل جرجانی,روز علوم آزمایشگاهی، زاد روز حکیم سید اسماعیل جرجانی,j
1808,"(1403, 11, 1)",2025-01-20,"(1446, 7, 20)",زادروز فردوسی,زادروز فردوسی,j
1809,"(1403, 11, 2)",2025-01-21,"(1446, 7, 21)",روز، جشن بهمنگان,روز، جشن بهمنگان,j
1810,"(1403, 11, 5)",2025-01-24,"(1446, 7, 24)",جشن نوسره,جشن نوسره,j
1811,"(1403, 11, 6)",2025-01-25,"(1446, 7, 25)",شهادت امام موسی کاظم علیه السلام [٢٥ رجب],شهادت امام موسی کاظم علیه السلام,h
1812,"(1403, 11, 8)",2025-01-27,"(1446, 7, 27)",مبعث رسول اکرم [٢٧ رجب],مبعث رسول اکرم,h
1813,"(1403, 11, 10)",2025-01-29,"(1446, 7, 29)",جشن سده,جشن سده,j
1814,"(1403, 11, 12)",2025-01-31,"(1446, 8, 1)",بازگشت امام خمینی (ره) به ایران,بازگشت امام خمینی (ره) به ایران,j
1815,"(1403, 11, 14)",2025-02-02,"(1446, 8, 3)",ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار [٣ شعبان],ولادت سالار شهیدان، امام حسین علیه السلام و روز پاسدار,h
1816,"(1403, 11, 15)",2025-02-03,"(1446, 8, 4)",جشن میانه زمستان,جشن میانه زمستان,j
1817,"(1403, 11, 15)",2025-02-03,"(1446, 8, 4)",ولادت ابوالفضل العباس علیه السلام و روز جانباز [٤ شعبان],ولادت ابوالفضل العباس علیه السلام و روز جانباز,h
1818,"(1403, 11, 16)",2025-02-04,"(1446, 8, 5)",ولادت امام زین العابدین علیه السلام [٥ شعبان],ولادت امام زین العابدین علیه السلام,h
1819,"(1403, 11, 19)",2025-02-07,"(1446, 8, 8)",روز نیروی هوایی,روز نیروی هوایی,j
1820,"(1403, 11, 22)",2025-02-10,"(1446, 8, 11)",پیروزی انقلاب اسلامی,پیروزی انقلاب اسلامی,j
1821,"(1403, 11, 22)",2025-02-10,"(1446, 8, 11)",ولادت علی اکبر علیه السلام و روز جوان [١١ شعبان],ولادت علی اکبر علیه السلام و روز جوان,h
1822,"(1403, 11, 23)",2025-02-11,"(1446, 8, 12)",حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران [۱۱ february],حمله به سفارت روسیه و قتل گریبایدوف سفیر روسیه تزاری در ایران,g
1823,"(1403, 11, 24)",2025-02-12,"(1446, 8, 13)",زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی [۱۲ february],زادروز چارلز داروین بنیانگذار نظریه‌ی فرگشت از طریق انتخاب طبیعی,g
1824,"(1403, 11, 26)",2025-02-14,"(1446, 8, 15)",ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان [١٥ شعبان],ولادت حضرت قائم عجل الله تعالی فرجه و جشن نیمه شعبان,h
1825,"(1403, 11, 26)",2025-02-14,"(1446, 8, 15)",روز ولنتاین [۱۴ february],روز ولنتاین,g
1826,"(1403, 11, 29)",2025-02-17,"(1446, 8, 18)",جشن سپندارمذگان و روز عشق,جشن سپندارمذگان و روز عشق,j
1827,"(1403, 12, 3)",2025-02-21,"(1446, 8, 22)",روز جهانی زبان مادری [۲۱ february],روز جهانی زبان مادری,g
1828,"(1403, 12, 5)",2025-02-23,"(1446, 8, 24)",روز بزرگداشت زمین و بانوان,روز بزرگداشت زمین و بانوان,j
1829,"(1403, 12, 5)",2025-02-23,"(1446, 8, 24)",روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,روز بزرگداشت خواجه نصیر الدین طوسی و روز مهندس,j
1830,"(1403, 12, 7)",2025-02-25,"(1446, 8, 26)",سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,سالروز استقلال کانون وکلای دادگستری و روز وکیل مدافع,j
1831,"(1403, 12, 7)",2025-02-25,"(1446, 8, 26)",سالروز درگذشت علی اکبر دهخدا,سالروز درگذشت علی اکبر دهخدا,j
1832,"(1403, 12, 15)",2025-03-05,"(1446, 9, 5)",روز درختکاری,روز درختکاری,j
1833,"(1403, 12, 18)",2025-03-08,"(1446, 9, 8)",روزجهانی زنان [۸ march],روزجهانی زنان,g
1834,"(1403, 12, 25)",2025-03-15,"(1446, 9, 15)",پایان سرایش شاهنامه,پایان سرایش شاهنامه,j
1835,"(1403, 12, 25)",2025-03-15,"(1446, 9, 15)",ولادت امام حسن مجتبی علیه السلام [١٥ رمضان],ولادت امام حسن مجتبی علیه السلام,h
1836,"(1403, 12, 28)",2025-03-18,"(1446, 9, 18)",شب قدر [١٨ رمضان],شب قدر,h
1837,"(1403, 12, 29)",2025-03-19,"(1446, 9, 19)",روز ملی شدن صنعت نفت ایران,روز ملی شدن صنعت نفت ایران,j
1838,"(1403, 12, 29)",2025-03-19,"(1446, 9, 19)",ضربت خوردن حضرت علی علیه السلام [١٩ رمضان],ضربت خوردن حضرت علی علیه السلام,h
1839,"(1403, 12, 30)",2025-03-20,"(1446, 9, 20)",آخرین روز سال,آخرین روز سال,j
1840,"(1403, 12, 30)",2025-03-20,"(1446, 9, 20)",روز جهانی شادی [۲۰ march],روز جهانی شادی,g
1841,"(1403, 10, 1)",2024-12-21,"(1446, 6, 20)",روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,روز میلاد خورشید؛ جشن خرم روز، نخستین جشن دیگان,j
1842,"(1403, 10, 1)",2024-12-21,"(1446, 6, 20)",ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر [٢٠ جمادی الثانیه],ولادت حضرت فاطمه زهرا سلام الله علیها و روز مادر,h
1843,"(1403, 10, 5)",2024-12-25,"(1446, 6, 24)",سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,سالروز زمین لرزه‌ی بم در سال ۱۳۸۲,j
1844,"(1403, 10, 5)",2024-12-25,"(1446, 6, 24)",جشن کریسمس [۲۵ december],جشن کریسمس,g
1845,"(1403, 10, 5)",2024-12-25,"(1446, 6, 24)",سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,سالروز شهادت آشو زرتشت، ابرانسان بزرگ تاریخ,j
1846,"(1403, 10, 8)",2024-12-28,"(1446, 6, 27)",به روز، دومین جشن دیگان,به روز، دومین جشن دیگان,j
1847,"(1403, 10, 12)",2025-01-01,"(1446, 7, 1)",ولادت امام محمد باقر علیه السلام [١ رجب],ولادت امام محمد باقر علیه السلام,h
1848,"(1403, 10, 12)",2025-01-01,"(1446, 7, 1)",جشن آغاز سال نو میلادی [۱ january],جشن آغاز سال نو میلادی,g
1849,"(1403, 10, 13)",2025-01-02,"(1446, 7, 2)",شهادت سردار حاج قاسم سلیمانی,شهادت سردار حاج قاسم سلیمانی,j
1850,"(1403, 10, 14)",2025-01-03,"(1446, 7, 3)",شهادت امام علی النقی الهادی علیه السلام [٣ رجب],شهادت امام علی النقی الهادی علیه السلام,h
1851,"(1403, 10, 15)",2025-01-04,"(1446, 7, 4)",به روز، سومین جشن دیگان,به روز، سومین جشن دیگان,j
1852,"(1403, 10, 20)",2025-01-09,"(1446, 7, 9)",قتل امیرکبیر به دستور ناصرالدین شاه قاجار,قتل امیرکبیر به دستور ناصرالدین شاه قاجار,j
1853,"(1403, 10, 21)",2025-01-10,"(1446, 7, 10)",ولادت امام محمد تقی علیه السلام [١٠ رجب],ولادت امام محمد تقی علیه السلام,h
1854,"(1403, 10, 23)",2025-01-12,"(1446, 7, 12)",به دین روز، چهارمین جشن دیگان,به دین روز، چهارمین جشن دیگان,j
1855,"(1403, 10, 24)",2025-01-13,"(1446, 7, 13)",ولادت امام علی علیه السلام و روز پدر [١٣ رجب],ولادت امام علی علیه السلام و روز پدر,h
1856,"(1403, 10, 26)",2025-01-15,"(1446, 7, 15)",وفات حضرت زینب سلام الله علیها [١٥ رجب],وفات حضرت زینب سلام الله علیها,h
1857,"(1403, 9, 1)",2024-11-21,"(1446, 5, 19)",جشن,جشن,j
1858,"(1403, 9, 5)",2024-11-25,"(1446, 5, 23)",روز بسیج مستضعفان,روز بسیج مستضعفان,j
1859,"(1403, 9, 5)",2024-11-25,"(1446, 5, 23)",روز جهانی مبارزه با خشونت علیه زنان [۲۵ november],روز جهانی مبارزه با خشونت علیه زنان,g
1860,"(1403, 9, 7)",2024-11-27,"(1446, 5, 25)",روز نیروی دریایی,روز نیروی دریایی,j
1861,"(1403, 9, 9)",2024-11-29,"(1446, 5, 27)",جشن آذرگان، روز,جشن آذرگان، روز,j
1862,"(1403, 9, 10)",2024-11-30,"(1446, 5, 28)",روز مجلس,روز مجلس,j
1863,"(1403, 9, 11)",2024-12-01,"(1446, 5, 29)",روز جهانی ایدز [۱ december],روز جهانی ایدز,g
1864,"(1403, 9, 13)",2024-12-03,"(1446, 6, 2)",روز بیمه,روز بیمه,j
1865,"(1403, 9, 13)",2024-12-03,"(1446, 6, 2)",روز جهانی معلولان [۳ december],روز جهانی معلولان,g
1866,"(1403, 9, 14)",2024-12-04,"(1446, 6, 3)",شهادت حضرت فاطمه زهرا سلام الله علیها [٣ جمادی الثانیه],شهادت حضرت فاطمه زهرا سلام الله علیها,h
1867,"(1403, 9, 15)",2024-12-05,"(1446, 6, 4)",روز حسابدار,روز حسابدار,j
